"Datum,""Ticket Nummer"",""Knop Keuze"",""Balie"",""Tijd Start"",""Tijd Aangenomen"",""Wachttijd in sec"""
"2023-06-01,""253"",""1"",""3"",""16:18:18"",""16:22:07"",""229"""
"2023-06-01,""254"",""1"",""2"",""16:19:12"",""16:22:13"",""181"""
"2023-06-01,""255"",""1"",""2"",""16:20:25"",""16:23:26"",""181"""
"2023-06-01,""256"",""1"",""3"",""16:20:55"",""16:23:56"",""181"""
"2023-06-01,""257"",""1"",""5"",""16:21:10"",""16:24:17"",""187"""
"2023-06-01,""258"",""1"",""5"",""16:26:26"",""16:27:22"",""56"""
"2023-06-01,""259"",""1"",""5"",""16:27:36"",""16:29:06"",""90"""
"2023-06-01,""260"",""1"",""5"",""16:31:09"",""16:32:24"",""75"""
"2023-06-01,""261"",""1"",""3"",""16:31:32"",""16:32:34"",""62"""
"2023-06-01,""262"",""1"",""5"",""16:34:48"",""16:36:40"",""112"""
"2023-06-01,""263"",""1"",""3"",""16:36:30"",""16:39:24"",""174"""
"2023-06-01,""264"",""1"",""4"",""16:37:22"",""16:39:48"",""146"""
"2023-06-01,""265"",""1"",""2"",""16:37:38"",""16:40:54"",""196"""
"2023-06-01,""266"",""1"",""4"",""16:40:31"",""16:41:03"",""32"""
"2023-06-01,""267"",""1"",""2"",""16:41:07"",""16:41:48"",""41"""
"2023-06-01,""268"",""1"",""5"",""16:42:21"",""16:43:51"",""90"""
"2023-06-01,""269"",""1"",""4"",""16:42:30"",""16:46:01"",""211"""
"2023-06-01,""270"",""1"",""5"",""16:43:17"",""16:46:23"",""186"""
"2023-06-01,""271"",""1"",""3"",""16:46:56"",""16:48:33"",""97"""
"2023-06-01,""272"",""1"",""3"",""16:47:31"",""16:48:59"",""88"""
"2023-06-01,""273"",""1"",""3"",""16:47:41"",""16:50:30"",""169"""
"2023-06-01,""274"",""1"",""5"",""16:47:49"",""16:51:12"",""203"""
"2023-06-01,""275"",""1"",""3"",""16:48:41"",""16:51:28"",""167"""
"2023-06-01,""276"",""1"",""3"",""16:50:06"",""16:51:41"",""95"""
"2023-06-01,""277"",""1"",""2"",""16:50:21"",""16:51:50"",""89"""
"2023-06-01,""278"",""1"",""3"",""16:52:34"",""16:53:06"",""32"""
"2023-06-01,""279"",""1"",""2"",""16:53:07"",""16:53:40"",""33"""
"2023-06-01,""280"",""1"",""5"",""16:53:46"",""16:54:01"",""15"""
"2023-06-01,""281"",""1"",""2"",""16:54:55"",""16:55:06"",""11"""
"2023-06-01,""282"",""1"",""5"",""16:58:42"",""17:00:16"",""94"""
"2023-06-01,""283"",""1"",""4"",""16:59:24"",""17:01:43"",""139"""
"2023-06-01,""284"",""1"",""3"",""17:00:56"",""17:01:59"",""63"""
"2023-06-01,""285"",""1"",""5"",""17:01:04"",""17:02:26"",""82"""
"2023-06-01,""286"",""1"",""4"",""17:04:05"",""17:04:09"",""4"""
"2023-06-01,""287"",""1"",""4"",""17:04:12"",""17:04:49"",""37"""
"2023-06-01,""288"",""1"",""5"",""17:07:01"",""17:08:08"",""67"""
"2023-06-01,""289"",""1"",""5"",""17:07:44"",""17:08:48"",""64"""
"2023-06-01,""290"",""1"",""4"",""17:09:08"",""17:10:07"",""59"""
"2023-06-01,""291"",""1"",""4"",""17:12:26"",""17:12:31"",""5"""
"2023-06-01,""292"",""1"",""5"",""17:13:59"",""17:14:43"",""44"""
"2023-06-01,""293"",""1"",""4"",""17:19:05"",""17:19:23"",""18"""
"2023-06-01,""294"",""1"",""4"",""17:19:33"",""17:24:46"",""313"""
"2023-06-01,""295"",""1"",""5"",""17:20:19"",""17:26:44"",""385"""
"2023-06-01,""296"",""1"",""4"",""17:22:33"",""17:27:27"",""294"""
"2023-06-01,""297"",""1"",""5"",""17:26:52"",""17:29:02"",""130"""
"2023-06-01,""298"",""1"",""4"",""17:29:51"",""17:30:33"",""42"""
"2023-06-01,""299"",""1"",""3"",""17:31:47"",""17:33:36"",""109"""
"2023-06-01,""300"",""1"",""4"",""17:34:06"",""17:34:55"",""49"""
"2023-06-01,""301"",""1"",""3"",""17:39:18"",""17:40:32"",""74"""
"2023-06-01,""302"",""1"",""4"",""17:47:33"",""17:48:04"",""31"""
"2023-06-01,""303"",""1"",""5"",""17:48:42"",""17:49:45"",""63"""
"2023-06-01,""304"",""1"",""4"",""17:49:09"",""17:52:42"",""213"""
"2023-06-02,""101"",""1"",""5"",""08:29:30"",""08:29:42"",""12"""
"2023-06-02,""102"",""1"",""5"",""08:38:34"",""08:38:47"",""13"""
"2023-06-02,""103"",""1"",""5"",""08:46:02"",""08:48:28"",""146"""
"2023-06-02,""104"",""1"",""5"",""08:47:47"",""08:54:50"",""423"""
"2023-06-02,""105"",""1"",""5"",""08:54:15"",""08:56:19"",""124"""
"2023-06-02,""106"",""1"",""5"",""08:58:52"",""08:59:33"",""41"""
"2023-06-02,""107"",""1"",""5"",""09:00:12"",""09:06:02"",""350"""
"2023-06-02,""108"",""1"",""5"",""09:05:34"",""09:07:11"",""97"""
"2023-06-02,""109"",""1"",""5"",""09:11:01"",""09:11:40"",""39"""
"2023-06-02,""110"",""1"",""5"",""09:11:48"",""09:18:32"",""404"""
"2023-06-02,""111"",""1"",""5"",""09:19:57"",""09:20:58"",""61"""
"2023-06-02,""112"",""1"",""5"",""09:28:07"",""09:28:49"",""42"""
"2023-06-02,""113"",""1"",""4"",""09:31:17"",""09:31:52"",""35"""
"2023-06-02,""114"",""1"",""4"",""09:33:03"",""09:33:50"",""47"""
"2023-06-02,""115"",""1"",""5"",""09:33:18"",""09:35:05"",""107"""
"2023-06-02,""116"",""1"",""4"",""09:39:06"",""09:39:12"",""6"""
"2023-06-02,""117"",""1"",""4"",""09:39:15"",""09:40:48"",""93"""
"2023-06-02,""118"",""1"",""4"",""09:47:02"",""09:50:09"",""187"""
"2023-06-02,""119"",""1"",""4"",""09:52:39"",""09:55:28"",""169"""
"2023-06-02,""120"",""1"",""4"",""09:58:50"",""09:59:20"",""30"""
"2023-06-02,""121"",""1"",""4"",""10:02:07"",""10:02:43"",""36"""
"2023-06-02,""122"",""1"",""4"",""10:06:33"",""10:07:17"",""44"""
"2023-06-02,""123"",""1"",""2"",""10:07:04"",""10:09:39"",""155"""
"2023-06-02,""124"",""1"",""2"",""10:07:36"",""10:12:33"",""297"""
"2023-06-02,""125"",""1"",""2"",""10:14:33"",""10:19:58"",""325"""
"2023-06-02,""126"",""1"",""2"",""10:18:18"",""10:23:45"",""327"""
"2023-06-02,""127"",""1"",""5"",""10:21:24"",""10:24:15"",""171"""
"2023-06-02,""128"",""1"",""5"",""10:21:25"",""10:24:30"",""185"""
"2023-06-02,""129"",""1"",""3"",""10:22:20"",""10:24:41"",""141"""
"2023-06-02,""130"",""1"",""4"",""10:23:15"",""10:24:53"",""98"""
"2023-06-02,""131"",""1"",""5"",""10:23:27"",""10:26:51"",""204"""
"2023-06-02,""132"",""1"",""3"",""10:23:41"",""10:27:23"",""222"""
"2023-06-02,""133"",""1"",""4"",""10:25:19"",""10:28:43"",""204"""
"2023-06-02,""134"",""1"",""4"",""10:26:11"",""10:30:55"",""284"""
"2023-06-02,""135"",""1"",""5"",""10:30:22"",""10:34:23"",""241"""
"2023-06-02,""136"",""1"",""3"",""10:38:03"",""10:38:27"",""24"""
"2023-06-02,""137"",""1"",""5"",""10:44:06"",""10:44:36"",""30"""
"2023-06-02,""138"",""1"",""5"",""10:44:16"",""10:50:42"",""386"""
"2023-06-02,""139"",""1"",""2"",""10:50:57"",""10:56:31"",""334"""
"2023-06-02,""140"",""1"",""4"",""10:51:48"",""11:00:00"",""492"""
"2023-06-02,""141"",""1"",""4"",""10:53:33"",""11:01:37"",""484"""
"2023-06-02,""142"",""1"",""3"",""10:54:31"",""11:03:01"",""510"""
"2023-06-02,""143"",""1"",""2"",""10:54:45"",""11:03:18"",""513"""
"2023-06-02,""144"",""1"",""4"",""10:57:50"",""11:03:52"",""362"""
"2023-06-02,""145"",""1"",""4"",""11:00:35"",""11:06:45"",""370"""
"2023-06-02,""146"",""1"",""3"",""11:05:02"",""11:06:56"",""114"""
"2023-06-02,""147"",""1"",""3"",""11:07:38"",""11:07:55"",""17"""
"2023-06-02,""148"",""1"",""2"",""11:07:45"",""11:08:59"",""74"""
"2023-06-02,""149"",""1"",""4"",""11:08:05"",""11:10:10"",""125"""
"2023-06-02,""150"",""1"",""2"",""11:09:19"",""11:12:28"",""189"""
"2023-06-02,""151"",""1"",""4"",""11:16:35"",""11:16:46"",""11"""
"2023-06-02,""152"",""1"",""4"",""11:16:59"",""11:17:31"",""32"""
"2023-06-02,""153"",""1"",""3"",""11:19:20"",""11:24:05"",""285"""
"2023-06-02,""154"",""1"",""3"",""11:22:58"",""11:24:38"",""100"""
"2023-06-02,""155"",""1"",""4"",""11:23:17"",""11:24:56"",""99"""
"2023-06-02,""156"",""1"",""5"",""11:23:26"",""11:25:04"",""98"""
"2023-06-02,""157"",""1"",""3"",""11:23:49"",""11:28:07"",""258"""
"2023-06-02,""158"",""1"",""4"",""11:26:00"",""11:28:20"",""140"""
"2023-06-02,""159"",""1"",""4"",""11:30:06"",""11:30:13"",""7"""
"2023-06-02,""160"",""1"",""4"",""11:34:11"",""11:34:31"",""20"""
"2023-06-02,""161"",""1"",""4"",""11:35:38"",""11:35:59"",""21"""
"2023-06-02,""162"",""1"",""4"",""11:37:04"",""11:37:53"",""49"""
"2023-06-02,""163"",""1"",""4"",""11:38:19"",""11:39:15"",""56"""
"2023-06-02,""164"",""1"",""4"",""11:38:48"",""11:43:16"",""268"""
"2023-06-02,""165"",""1"",""4"",""11:44:13"",""11:44:57"",""44"""
"2023-06-02,""166"",""1"",""5"",""11:50:30"",""11:53:34"",""184"""
